Route,Run,Sequence,Bus_Stop_Code
112,2,29,54981
113,1,1,76800
113,1,2,48573
113,1,3,48537
113,1,4,77460
113,1,5,77438
113,1,6,52181
113,1,7,48882
113,1,8,53769
113,1,9,49919
113,1,10,51703
113,1,11,76106
113,1,12,47870
113,1,13,54176
113,1,14,51550
113,1,15,72737
113,1,16,48214
113,1,17,75967
113,1,18,77768
113,1,19,54813
113,1,20,48787
113,1,21,77865
113,1,22,51606
113,1,23,58401
113,1,24,53407
113,1,25,48350
113,1,26,57297
113,1,27,54921
113,1,28,49392
113,1,29,72337
113,1,30,74482
113,1,31,53765
113,1,32,48149
113,1,33,52668
113,1,34,51342
113,1,35,72778
113,1,36,48185
113,1,37,50867
113,1,38,52703
113,1,39,47735
113,1,40,49543
113,1,41,51651
113,1,42,50434
113,1,43,52293
113,1,44,73838
113,1,45,58958
113,1,46,47715
113,1,47,75948
113,1,48,75086
113,1,49,49244
113,1,50,47771
113,1,51,59130
113,1,52,75334
113,1,53,57258
113,1,54,76148
113,2,1,53840
113,2,2,76160
113,2,3,54941
113,2,4,59187
113,2,5,75248
113,2,6,73188
113,2,7,57964
113,2,8,75549
113,2,9,53222
113,2,10,72076
113,2,11,54229
113,2,12,54877
113,2,13,57772
113,2,14,51673
113,2,15,53361
113,2,16,75788
113,2,17,74133
113,2,18,75588
113,2,19,75459
113,2,20,55725
113,2,21,73351
113,2,22,54898
113,2,23,76324
113,2,24,51867
113,2,25,54724
113,2,26,56051
113,2,27,53655
113,2,28,53114
113,2,29,56170
113,2,30,76174
113,2,31,54350
113,2,32,76229
113,2,33,48187
113,2,34,53682
113,2,35,49890
113,2,36,52743
113,2,37,71307
113,2,38,54376
113,2,39,74649
113,2,40,76521
113,2,41,54846
113,2,42,49055
113,2,43,56896
113,2,44,50049
113,2,45,74338
113,2,46,48734
113,2,47,48933
113,2,48,72171
113,2,49,50689
113,2,50,71350
113,2,51,71192
114,1,1,53716
114,1,2,59428
114,1,3,57535
114,1,4,58221
114,1,5,54558
114,1,6,52199
114,1,7,53977
114,1,8,59294
114,1,9,71128
114,1,10,54276
114,1,11,53824
114,1,12,58791
114,1,13,73953
114,1,14,49707
114,1,15,71652
114,1,16,72124
114,1,17,54269
114,1,18,59160
114,1,19,55820
114,1,20,53834
114,1,21,51991
114,1,22,72726
114,1,23,47478
114,1,24,75170
114,1,25,48712
114,1,26,47999
114,1,27,57488
114,1,28,76915
114,1,29,47073
114,1,30,47854
114,1,31,74201
114,1,32,71898
114,1,33,75526
114,1,34,48760
114,1,35,47112
114,1,36,57452
114,1,37,75443
114,1,38,71954
114,1,39,48344
114,1,40,71476
114,1,41,73656
114,1,42,59397
114,1,43,59139
114,1,44,51584
114,1,45,54166
114,1,46,77857
114,2,1,75224
114,2,2,57528
114,2,3,74377
114,2,4,48929
114,2,5,76244
114,2,6,48934
114,2,7,57396
114,2,8,50612
114,2,9,59549
114,2,10,76020
114,2,11,53251
114,2,12,50445
114,2,13,75428
114,2,14,76092
114,2,15,47182
114,2,16,71719
114,2,17,58886
114,2,18,59244
114,2,19,71337
114,2,20,50707
114,2,21,54146
114,2,22,48006
114,2,23,48907
114,2,24,73264
114,2,25,51223
114,2,26,75966
114,2,27,50244
114,2,28,57511
114,2,29,52771
114,2,30,54971
114,2,31,57627
114,2,32,72141
114,2,33,52937
114,2,34,55446
114,2,35,51145
114,2,36,57354
114,2,37,53523
114,2,38,74592
114,2,39,75481
114,2,40,47175
114,2,41,55728
114,2,42,57192
114,2,43,71575
114,2,44,48627
114,2,45,48157
114,2,46,52977
114,2,47,56360
114,2,48,53716
115,1,1,73886
115,1,2,54003
115,1,3,59223
115,1,4,77795
115,1,5,56905
115,1,6,77099
115,1,7,59182
115,1,8,73121
115,1,9,73209
115,1,10,53154
115,1,11,48719
115,1,12,76929
115,1,13,73471
115,1,14,73947
115,1,15,57910
115,1,16,49899
115,1,17,73168
115,1,18,77940
115,1,19,73689
115,1,20,47848
115,1,21,54110
115,1,22,55228
115,1,23,53781
115,1,24,71525
115,1,25,48791
115,1,26,48264
115,1,27,73470
115,1,28,53410
115,1,29,55267
115,1,30,72903
115,1,31,74927
115,1,32,50653
115,1,33,53296
115,1,34,57183
115,1,35,75711
115,1,36,72904
115,1,37,51466
115,2,1,76732
115,2,3,47908
115,2,4,51391
